,date,lme_copper_cash,lme_copper_three_month,lme_copper_stock
851,30. November 2018,"6,238.00","6,202.00","136,175"
852,29. November 2018,"6,282.00","6,241.00","136,250"
853,28. November 2018,"6,198.00","6,157.00","137,325"
854,27. November 2018,"6,169.50","6,136.50","137,850"
855,26. November 2018,"6,246.00","6,219.00","137,100"
856,23. November 2018,"6,210.00","6,188.00","139,550"
857,22. November 2018,"6,246.00","6,224.00","143,325"
858,21. November 2018,"6,242.00","6,218.00","143,275"
859,20. November 2018,"6,262.00","6,240.00","145,250"
860,19. November 2018,"6,260.00","6,245.00","151,625"
861,16. November 2018,"6,181.00","6,167.00","161,025"
862,15. November 2018,"6,188.00","6,175.00","166,450"
863,14. November 2018,"6,106.00","6,085.50","167,075"
864,13. November 2018,"6,130.00","6,106.00","168,325"
865,12. November 2018,"6,083.50","6,063.00","169,325"
866,09. November 2018,"6,088.00","6,070.00","171,050"
867,08. November 2018,"6,137.00","6,116.00","172,325"
868,07. November 2018,"6,210.00","6,194.00","174,200"
869,06. November 2018,"6,205.00","6,189.00","175,400"
870,05. November 2018,"6,239.00","6,219.00","177,950"
871,02. November 2018,"6,255.00","6,232.50","180,375"
872,01. November 2018,"6,070.00","6,048.00","136,675"
873,31. October 2018,"6,073.00","6,017.00","137,625"
874,30. October 2018,"6,136.00","6,115.00","139,250"
875,29. October 2018,"6,260.00","6,224.00","143,125"
876,26. October 2018,"6,159.00","6,130.00","146,350"
877,25. October 2018,"6,210.00","6,200.00","149,575"
878,24. October 2018,"6,215.00","6,212.00","152,225"
879,23. October 2018,"6,167.50","6,174.00","151,100"
880,22. October 2018,"6,284.00","6,280.00","154,225"
881,19. October 2018,"6,191.50","6,190.50","153,950"
882,18. October 2018,"6,147.00","6,147.00","158,300"
883,17. October 2018,"6,249.00","6,247.00","160,900"
884,16. October 2018,"6,202.00","6,213.00","164,175"
885,15. October 2018,"6,296.00","6,285.00","161,700"
886,12. October 2018,"6,325.00","6,304.00","166,600"
887,11. October 2018,"6,155.00","6,140.50","170,100"
888,10. October 2018,"6,294.00","6,283.00","173,500"
889,09. October 2018,"6,219.00","6,219.00","177,850"
890,08. October 2018,"6,169.00","6,175.00","181,975"
891,05. October 2018,"6,182.50","6,188.00","186,800"
892,04. October 2018,"6,310.00","6,312.00","188,950"
893,03. October 2018,"6,275.00","6,278.00","194,175"
894,02. October 2018,"6,274.00","6,263.00","196,600"
895,01. October 2018,"6,172.00","6,162.50","199,125"
896,28. September 2018,"6,180.00","6,180.00","202,400"
897,27. September 2018,"6,222.00","6,225.00","209,900"
898,26. September 2018,"6,257.50","6,272.00","210,900"
899,25. September 2018,"6,276.00","6,282.00","212,925"
900,24. September 2018,"6,320.00","6,320.50","214,350"
901,21. September 2018,"6,203.00","6,202.00","216,600"
902,20. September 2018,"6,057.00","6,080.00","215,000"
903,19. September 2018,"6,057.00","6,085.00","217,600"
904,18. September 2018,"6,003.00","6,026.00","214,150"
905,17. September 2018,"5,860.00","5,881.00","221,925"
906,14. September 2018,"5,946.50","5,965.00","225,900"
907,13. September 2018,"5,991.00","6,014.00","225,125"
908,12. September 2018,"5,891.00","5,907.00","233,025"
909,11. September 2018,"5,849.00","5,869.00","234,300"
910,10. September 2018,"5,840.50","5,864.00","238,750"
911,07. September 2018,"5,883.00","5,905.00","246,175"
912,06. September 2018,"5,940.00","5,955.00","254,350"
913,05. September 2018,"5,850.00","5,870.00","262,100"
914,04. September 2018,"5,823.00","5,849.00","262,900"
915,03. September 2018,"5,951.00","5,965.00","262,475"
916,31. August 2018,"6,019.00","6,020.00","264,925"
917,30. August 2018,"6,066.50","6,071.00","266,450"
918,29. August 2018,"6,065.00","6,079.00","267,850"
919,28. August 2018,"6,118.00","6,125.00","268,175"
920,24. August 2018,"6,001.00","6,025.00","267,075"
921,23. August 2018,"5,910.50","5,940.00","266,950"
922,22. August 2018,"6,000.00","6,027.00","262,850"
923,21. August 2018,"6,025.50","6,053.00","261,250"
924,20. August 2018,"5,963.00","6,002.00","259,250"
925,17. August 2018,"5,844.00","5,878.00","258,850"
926,16. August 2018,"5,860.00","5,900.00","257,400"
927,15. August 2018,"5,843.00","5,885.00","257,625"
928,14. August 2018,"6,059.00","6,090.50","254,875"
929,13. August 2018,"6,081.00","6,110.00","254,400"
930,10. August 2018,"6,120.00","6,162.00","253,525"
931,09. August 2018,"6,247.00","6,270.50","252,625"
932,08. August 2018,"6,113.00","6,143.00","249,150"
933,07. August 2018,"6,132.00","6,166.00","248,050"
934,06. August 2018,"6,040.00","6,075.00","249,900"
935,03. August 2018,"6,167.00","6,198.00","250,625"
936,02. August 2018,"6,063.00","6,091.00","251,450"
937,01. August 2018,"6,137.00","6,162.00","251,950"
938,31. July 2018,"6,213.00","6,236.50","254,425"
939,30. July 2018,"6,185.00","6,208.00","256,275"
940,27. July 2018,"6,251.50","6,280.50","253,525"
941,26. July 2018,"6,255.00","6,290.00","251,950"
942,25. July 2018,"6,252.00","6,285.00","252,400"
943,24. July 2018,"6,167.00","6,200.00","254,425"
944,23. July 2018,"6,153.00","6,181.00","254,700"
945,20. July 2018,"6,073.00","6,099.00","255,325"
946,19. July 2018,"5,982.00","6,006.00","256,475"
947,18. July 2018,"6,068.00","6,097.00","257,350"
948,17. July 2018,"6,141.50","6,175.50","259,725"
949,16. July 2018,"6,143.00","6,175.00","257,200"
950,13. July 2018,"6,166.00","6,181.00","258,725"
951,12. July 2018,"6,173.00","6,192.00","262,750"
952,11. July 2018,"6,182.00","6,195.00","265,475"
953,10. July 2018,"6,308.00","6,315.00","270,625"
954,09. July 2018,"6,383.00","6,385.00","270,550"
955,06. July 2018,"6,326.00","6,330.00","275,475"
956,05. July 2018,"6,399.50","6,395.00","279,000"
957,04. July 2018,"6,459.00","6,464.00","282,225"
958,03. July 2018,"6,584.50","6,581.00","286,525"
959,02. July 2018,"6,595.00","6,590.00","289,875"
960,29. June 2018,"6,646.00","6,645.00","294,525"
961,28. June 2018,"6,650.00","6,647.00","298,250"
962,27. June 2018,"6,688.00","6,690.00","298,775"
963,26. June 2018,"6,712.00","6,720.00","303,100"
964,25. June 2018,"6,783.00","6,785.50","305,525"
965,22. June 2018,"6,811.00","6,810.00","305,975"
966,21. June 2018,"6,801.00","6,801.00","307,675"
967,20. June 2018,"6,819.00","6,828.00","308,975"
968,19. June 2018,"6,820.00","6,837.00","294,550"
969,18. June 2018,"6,987.00","6,988.00","294,275"
970,15. June 2018,"7,136.00","7,143.00","294,700"
971,14. June 2018,"7,197.00","7,201.00","293,550"
972,13. June 2018,"7,201.50","7,211.00","293,450"
973,12. June 2018,"7,200.50","7,220.00","295,725"
974,11. June 2018,"7,223.50","7,222.00","299,500"
975,08. June 2018,"7,262.50","7,268.00","307,075"
976,07. June 2018,"7,245.50","7,259.00","310,200"
977,06. June 2018,"7,147.00","7,153.00","306,750"
978,05. June 2018,"6,971.00","6,985.00","309,300"
979,04. June 2018,"6,935.00","6,940.00","315,350"
980,01. June 2018,"6,814.00","6,825.00","317,950"
981,31. May 2018,"6,825.00","6,834.00","311,525"
982,30. May 2018,"6,810.00","6,820.00","283,375"
983,29. May 2018,"6,841.50","6,865.00","294,750"
984,25. May 2018,"6,886.00","6,903.00","293,450"
985,24. May 2018,"6,835.00","6,860.00","300,125"
986,23. May 2018,"6,800.00","6,829.00","298,000"
987,22. May 2018,"6,931.50","6,961.00","300,175"
988,21. May 2018,"6,861.00","6,896.00","302,900"
989,18. May 2018,"6,783.50","6,817.00","301,475"
990,17. May 2018,"6,838.00","6,867.00","300,200"
991,16. May 2018,"6,773.50","6,808.00","290,825"
992,15. May 2018,"6,822.50","6,863.00","291,350"
993,14. May 2018,"6,828.00","6,862.00","289,975"
994,11. May 2018,"6,869.00","6,907.00","281,075"
995,10. May 2018,"6,862.00","6,890.50","285,075"
996,09. May 2018,"6,786.00","6,822.00","293,025"
997,08. May 2018,"6,722.00","6,759.00","302,625"
998,04. May 2018,"6,783.00","6,819.00","311,375"
999,03. May 2018,"6,837.00","6,874.00","316,400"
1000,02. May 2018,"6,785.00","6,820.00","324,225"
1001,01. May 2018,"6,777.50","6,822.00","325,525"
1002,30. April 2018,"6,783.00","6,820.50","334,650"
1003,27. April 2018,"6,797.00","6,840.00","337,700"
1004,26. April 2018,"6,885.50","6,930.00","342,250"
1005,25. April 2018,"6,960.50","7,000.00","346,300"
1006,24. April 2018,"6,987.00","7,030.00","348,725"
1007,23. April 2018,"6,923.00","6,965.00","351,825"
1008,20. April 2018,"6,939.00","6,985.00","353,375"
1009,19. April 2018,"6,942.00","6,985.00","355,150"
1010,18. April 2018,"6,936.00","6,982.00","359,275"
1011,17. April 2018,"6,784.00","6,832.00","358,025"
1012,16. April 2018,"6,811.50","6,853.00","352,000"
1013,13. April 2018,"6,830.00","6,862.00","357,025"
1014,12. April 2018,"6,756.00","6,788.00","362,700"
1015,11. April 2018,"6,930.50","6,969.00","366,725"
1016,10. April 2018,"6,888.00","6,930.00","369,525"
1017,09. April 2018,"6,767.00","6,810.00","372,175"
1018,06. April 2018,"6,703.00","6,743.00","370,750"
1019,05. April 2018,"6,767.00","6,800.00","372,850"
1020,04. April 2018,"6,625.00","6,661.00","378,075"
1021,03. April 2018,"6,756.00","6,795.00","383,025"
1022,29. March 2018,"6,685.00","6,720.00","383,075"
1023,28. March 2018,"6,601.50","6,641.00","388,175"
1024,27. March 2018,"6,641.50","6,689.00","383,975"
1025,26. March 2018,"6,500.00","6,550.00","352,750"
1026,23. March 2018,"6,658.00","6,699.00","317,750"
1027,22. March 2018,"6,746.50","6,792.00","319,500"
1028,21. March 2018,"6,675.00","6,712.50","321,900"
1029,20. March 2018,"6,784.00","6,818.50","322,475"
1030,19. March 2018,"6,791.50","6,820.00","319,275"
1031,16. March 2018,"6,923.00","6,951.00","321,450"
1032,15. March 2018,"6,885.50","6,922.00","319,325"
1033,14. March 2018,"7,015.00","7,051.00","319,825"
1034,13. March 2018,"6,883.00","6,925.00","321,475"
1035,12. March 2018,"6,857.00","6,900.00","321,125"
1036,09. March 2018,"6,808.00","6,839.00","311,125"
1037,08. March 2018,"6,830.00","6,860.00","314,875"
1038,07. March 2018,"6,873.00","6,916.00","316,375"
1039,06. March 2018,"6,968.50","7,004.00","319,650"
1040,05. March 2018,"6,850.00","6,886.00","322,175"
1041,02. March 2018,"6,883.00","6,919.00","324,900"
1042,01. March 2018,"6,852.00","6,890.00","328,000"
1043,28. February 2018,"6,953.00","6,989.00","330,800"
1044,27. February 2018,"7,028.00","7,068.00","330,425"
1045,26. February 2018,"7,111.00","7,142.50","331,575"
1046,23. February 2018,"7,073.50","7,113.00","332,450"
1047,22. February 2018,"7,032.00","7,070.00","334,675"
1048,21. February 2018,"7,003.00","7,049.00","337,175"
1049,20. February 2018,"7,027.00","7,072.00","337,850"
1050,19. February 2018,"7,093.00","7,138.00","338,275"
1051,16. February 2018,"7,159.00","7,204.00","332,775"
1052,15. February 2018,"7,098.00","7,134.00","333,525"
1053,14. February 2018,"6,962.00","7,012.00","333,625"
1054,13. February 2018,"6,908.00","6,956.00","333,025"
1055,12. February 2018,"6,786.50","6,835.00","333,850"
1056,09. February 2018,"6,755.00","6,805.00","336,225"
1057,08. February 2018,"6,838.00","6,879.00","316,100"
1058,07. February 2018,"7,006.00","7,050.00","294,975"
1059,06. February 2018,"7,060.00","7,100.00","297,825"
1060,05. February 2018,"7,050.00","7,095.00","304,000"
1061,02. February 2018,"7,066.00","7,110.00","304,325"
1062,01. February 2018,"7,027.00","7,067.50","304,675"
1063,31. January 2018,"7,100.50","7,140.00","305,575"
1064,30. January 2018,"7,049.00","7,093.00","306,950"
1065,29. January 2018,"7,062.00","7,107.00","308,650"
1066,26. January 2018,"7,063.50","7,110.00","309,125"
1067,25. January 2018,"7,112.00","7,148.00","299,600"
1068,24. January 2018,"6,943.00","6,987.00","276,675"
1069,23. January 2018,"6,905.00","6,949.00","248,075"
1070,22. January 2018,"7,049.00","7,090.00","211,775"
1071,19. January 2018,"7,079.00","7,120.00","211,650"
1072,18. January 2018,"7,047.00","7,093.00","205,475"
1073,17. January 2018,"7,047.00","7,079.00","204,675"
1074,16. January 2018,"7,023.00","7,064.00","204,650"
1075,15. January 2018,"7,180.00","7,218.00","202,850"
1076,12. January 2018,"7,070.50","7,111.00","204,125"
1077,11. January 2018,"7,123.00","7,162.00","201,650"
1078,10. January 2018,"7,140.50","7,185.00","203,750"
1079,09. January 2018,"7,092.00","7,137.00","203,675"
1080,08. January 2018,"7,084.50","7,127.00","203,850"
1081,05. January 2018,"7,097.00","7,142.00","203,850"
1082,04. January 2018,"7,202.50","7,251.00","200,150"
1083,03. January 2018,"7,115.50","7,160.00","200,225"
1084,02. January 2018,"7,181.00","7,228.00","200,650"
1085,29. December 2017,"7,157.00","7,192.00","201,725"
1086,28. December 2017,"7,216.00","7,251.50","202,850"
1087,27. December 2017,"7,140.00","7,182.00","202,100"
1088,22. December 2017,"7,019.00","7,060.00","201,600"
1089,21. December 2017,"6,977.00","7,020.00","201,650"
1090,20. December 2017,"6,925.00","6,975.00","201,150"
1091,19. December 2017,"6,845.00","6,883.00","201,725"
1092,18. December 2017,"6,844.00","6,879.00","196,725"
1093,15. December 2017,"6,735.50","6,777.00","195,200"
1094,14. December 2017,"6,723.00","6,760.50","191,550"
1095,13. December 2017,"6,685.00","6,727.00","191,600"
1096,12. December 2017,"6,614.00","6,653.00","193,475"
1097,11. December 2017,"6,547.50","6,588.00","194,600"
1098,08. December 2017,"6,538.50","6,575.00","195,150"
1099,07. December 2017,"6,530.50","6,566.00","193,975"
1100,06. December 2017,"6,539.00","6,572.00","193,675"
1101,05. December 2017,"6,645.00","6,675.50","192,550"
1102,04. December 2017,"6,807.00","6,835.00","182,425"
1103,01. December 2017,"6,734.00","6,770.00","183,525"
1104,30. November 2017,"6,761.00","6,793.00","188,525"
1105,29. November 2017,"6,756.50","6,780.50","191,725"
1106,28. November 2017,"6,800.00","6,827.00","196,675"
1107,27. November 2017,"6,892.00","6,920.00","204,200"
1108,24. November 2017,"6,967.50","7,000.00","213,600"
1109,23. November 2017,"6,895.50","6,928.00","219,075"
1110,22. November 2017,"6,872.50","6,910.50","226,275"
1111,21. November 2017,"6,828.00","6,861.00","234,375"
1112,20. November 2017,"6,752.00","6,785.00","241,400"
1113,17. November 2017,"6,728.50","6,770.00","247,700"
1114,16. November 2017,"6,764.00","6,798.00","251,550"
1115,15. November 2017,"6,715.50","6,752.00","255,450"
1116,14. November 2017,"6,822.50","6,863.00","258,800"
1117,13. November 2017,"6,768.00","6,802.00","258,275"
1118,10. November 2017,"6,797.00","6,834.50","260,150"
1119,09. November 2017,"6,777.00","6,801.50","259,725"
1120,08. November 2017,"6,812.00","6,838.00","263,425"
1121,07. November 2017,"6,863.00","6,900.00","267,650"
1122,06. November 2017,"6,902.50","6,937.50","268,450"
1123,03. November 2017,"6,914.50","6,945.00","270,400"
1124,02. November 2017,"6,855.00","6,883.00","273,850"
1125,01. November 2017,"6,918.00","6,936.50","273,675"
1126,31. October 2017,"6,802.00","6,831.00","274,625"
1127,30. October 2017,"6,823.00","6,850.00","273,625"
1128,27. October 2017,"6,831.50","6,851.00","272,625"
1129,26. October 2017,"6,965.00","6,990.50","275,575"
1130,25. October 2017,"6,970.50","6,991.00","279,400"
1131,24. October 2017,"7,073.50","7,096.00","281,550"
1132,23. October 2017,"6,959.00","6,990.00","283,450"
1133,20. October 2017,"7,008.50","7,035.00","287,625"
1134,19. October 2017,"6,920.00","6,965.00","291,250"
1135,18. October 2017,"6,971.50","7,012.00","292,225"
1136,17. October 2017,"7,046.00","7,065.00","291,325"
1137,16. October 2017,"7,063.00","7,082.00","285,025"
1138,13. October 2017,"6,858.00","6,886.50","283,800"
1139,12. October 2017,"6,813.00","6,852.00","285,900"
1140,11. October 2017,"6,685.00","6,740.00","286,925"
1141,10. October 2017,"6,641.00","6,695.00","289,875"
1142,09. October 2017,"6,607.00","6,660.00","291,000"
1143,06. October 2017,"6,639.00","6,690.00","293,450"
1144,05. October 2017,"6,511.00","6,554.00","296,075"
1145,04. October 2017,"6,453.00","6,505.00","298,525"
1146,03. October 2017,"6,447.00","6,504.00","302,050"
1147,02. October 2017,"6,455.00","6,504.00","295,500"
1148,29. September 2017,"6,485.00","6,531.00","297,250"
1149,28. September 2017,"6,405.00","6,452.00","298,425"
1150,27. September 2017,"6,426.00","6,475.00","301,950"
1151,26. September 2017,"6,423.00","6,480.00","305,150"
1152,25. September 2017,"6,416.00","6,460.00","305,250"
1153,22. September 2017,"6,405.00","6,450.00","309,050"
1154,21. September 2017,"6,407.50","6,453.00","311,250"
1155,20. September 2017,"6,520.00","6,565.00","313,850"
1156,19. September 2017,"6,492.00","6,540.00","300,625"
1157,18. September 2017,"6,487.00","6,534.50","302,925"
1158,15. September 2017,"6,457.00","6,500.00","304,350"
1159,14. September 2017,"6,418.50","6,459.00","276,025"
1160,13. September 2017,"6,527.00","6,572.00","246,575"
1161,12. September 2017,"6,601.50","6,644.00","218,725"
1162,11. September 2017,"6,737.00","6,759.00","208,425"
1163,08. September 2017,"6,780.00","6,805.00","213,175"
1164,07. September 2017,"6,842.50","6,870.00","210,725"
1165,06. September 2017,"6,864.00","6,891.00","214,775"
1166,05. September 2017,"6,904.00","6,937.00","217,550"
1167,04. September 2017,"6,873.00","6,905.00","220,875"
1168,01. September 2017,"6,776.00","6,812.00","223,500"
1169,31. August 2017,"6,792.00","6,819.00","228,450"
1170,30. August 2017,"6,755.00","6,785.00","223,050"
1171,29. August 2017,"6,797.00","6,813.00","233,025"
1172,25. August 2017,"6,714.00","6,726.00","240,825"
1173,24. August 2017,"6,577.00","6,605.00","245,050"
1174,23. August 2017,"6,555.00","6,587.00","249,525"
1175,22. August 2017,"6,584.00","6,621.00","255,700"
1176,21. August 2017,"6,514.50","6,550.00","261,700"
1177,18. August 2017,"6,453.00","6,490.00","271,350"
1178,17. August 2017,"6,460.00","6,496.00","275,800"
1179,16. August 2017,"6,433.00","6,468.50","279,000"
1180,15. August 2017,"6,382.00","6,415.00","280,975"
1181,14. August 2017,"6,351.00","6,383.00","283,325"
1182,11. August 2017,"6,353.50","6,379.00","283,675"
1183,10. August 2017,"6,416.50","6,444.50","288,050"
1184,09. August 2017,"6,465.00","6,495.00","288,925"
1185,08. August 2017,"6,364.00","6,394.00","293,950"
1186,07. August 2017,"6,333.00","6,365.50","296,700"
1187,04. August 2017,"6,330.00","6,357.00","298,225"
1188,03. August 2017,"6,290.00","6,318.00","299,425"
1189,02. August 2017,"6,300.00","6,321.50","301,100"
1190,01. August 2017,"6,300.50","6,336.00","295,525"
1191,31. July 2017,"6,347.00","6,383.00","296,975"
1192,28. July 2017,"6,283.00","6,315.00","300,575"
1193,27. July 2017,"6,325.00","6,356.00","302,125"
1194,26. July 2017,"6,238.00","6,270.50","303,250"
1195,25. July 2017,"6,150.00","6,180.50","304,850"
1196,24. July 2017,"6,000.00","6,030.00","305,875"
1197,21. July 2017,"6,001.50","6,035.00","306,625"
1198,20. July 2017,"5,930.00","5,968.00","308,050"
1199,19. July 2017,"5,956.00","5,994.00","309,250"
1200,18. July 2017,"5,940.50","5,973.00","307,275"
1201,17. July 2017,"5,965.50","5,985.00","309,125"
1202,14. July 2017,"5,858.00","5,880.50","313,300"
1203,13. July 2017,"5,902.00","5,920.00","318,225"
1204,12. July 2017,"5,882.50","5,914.00","318,550"
1205,11. July 2017,"5,795.00","5,824.50","319,750"
1206,10. July 2017,"5,780.00","5,815.00","319,975"
1207,07. July 2017,"5,809.00","5,829.00","315,075"
1208,06. July 2017,"5,828.50","5,861.00","314,775"
1209,05. July 2017,"5,818.00","5,848.50","315,925"
1210,04. July 2017,"5,847.00","5,875.00","275,600"
1211,03. July 2017,"5,894.00","5,917.00","278,275"
1212,30. June 2017,"5,907.50","5,918.00","249,700"
1213,29. June 2017,"5,905.50","5,925.00","243,300"
1214,28. June 2017,"5,822.00","5,840.00","248,675"
1215,27. June 2017,"5,789.00","5,812.00","250,550"
1216,26. June 2017,"5,771.00","5,795.00","254,675"
1217,23. June 2017,"5,774.00","5,797.00","258,700"
1218,22. June 2017,"5,736.00","5,762.00","256,700"
1219,21. June 2017,"5,650.00","5,677.00","259,300"
1220,20. June 2017,"5,673.50","5,699.00","262,075"
1221,19. June 2017,"5,687.00","5,710.00","265,175"
1222,16. June 2017,"5,655.50","5,679.00","268,450"
1223,15. June 2017,"5,637.00","5,667.00","268,500"
1224,14. June 2017,"5,684.50","5,717.00","272,625"
1225,13. June 2017,"5,659.00","5,693.00","275,850"
1226,12. June 2017,"5,752.00","5,783.00","279,575"
1227,09. June 2017,"5,739.00","5,764.00","276,875"
1228,08. June 2017,"5,647.50","5,675.50","286,350"
1229,07. June 2017,"5,575.50","5,606.00","294,225"
1230,06. June 2017,"5,540.50","5,570.00","299,575"
1231,05. June 2017,"5,586.50","5,616.00","302,625"
1232,02. June 2017,"5,559.50","5,584.00","305,550"
1233,01. June 2017,"5,636.50","5,662.00","308,000"
1234,31. May 2017,"5,615.50","5,640.00","311,150"
1235,30. May 2017,"5,608.00","5,630.00","315,200"
1236,26. May 2017,"5,671.00","5,689.00","318,650"
1237,24. May 2017,"5,662.50","5,680.00","325,675"
1238,23. May 2017,"5,660.50","5,684.00","329,875"
1239,22. May 2017,"5,677.00","5,695.50","332,300"
1240,19. May 2017,"5,596.00","5,617.50","336,650"
1241,18. May 2017,"5,490.00","5,508.00","340,350"
1242,17. May 2017,"5,575.00","5,597.00","339,600"
1243,16. May 2017,"5,584.00","5,594.00","322,500"
1244,15. May 2017,"5,586.00","5,612.00","325,150"
1245,12. May 2017,"5,520.00","5,541.00","329,375"
1246,11. May 2017,"5,580.50","5,603.00","336,725"
1247,10. May 2017,"5,512.00","5,537.50","339,200"
1248,09. May 2017,"5,496.00","5,520.00","342,825"
1249,08. May 2017,"5,466.00","5,491.00","351,550"
1250,05. May 2017,"5,530.50","5,560.00","354,650"
1251,04. May 2017,"5,543.00","5,570.00","317,850"
1252,03. May 2017,"5,636.50","5,665.00","284,925"
1253,02. May 2017,"5,746.50","5,780.00","253,675"
1254,28. April 2017,"5,688.50","5,714.00","259,725"
1255,27. April 2017,"5,686.50","5,712.00","260,575"
1256,26. April 2017,"5,677.50","5,705.00","261,475"
1257,25. April 2017,"5,652.50","5,688.00","262,250"
1258,24. April 2017,"5,612.00","5,644.00","264,850"
1259,21. April 2017,"5,601.00","5,633.00","268,400"
1260,20. April 2017,"5,611.50","5,645.00","268,450"
1261,19. April 2017,"5,600.50","5,630.50","267,475"
1262,18. April 2017,"5,620.50","5,650.00","255,425"
1263,13. April 2017,"5,655.00","5,686.00","257,200"
1264,12. April 2017,"5,685.00","5,711.00","258,825"
1265,11. April 2017,"5,746.00","5,772.00","259,675"
1266,10. April 2017,"5,731.00","5,766.00","266,575"
1267,07. April 2017,"5,770.00","5,810.00","265,325"
1268,06. April 2017,"5,870.50","5,900.50","270,550"
1269,05. April 2017,"5,808.50","5,840.00","273,750"
1270,04. April 2017,"5,724.50","5,750.00","279,875"
1271,03. April 2017,"5,817.00","5,847.00","283,900"
1272,31. March 2017,"5,849.00","5,865.50","291,175"
1273,30. March 2017,"5,860.00","5,881.00","297,550"
1274,29. March 2017,"5,847.00","5,866.00","304,275"
1275,28. March 2017,"5,774.50","5,800.00","309,225"
1276,27. March 2017,"5,673.50","5,694.00","311,375"
1277,24. March 2017,"5,782.50","5,815.50","312,525"
1278,23. March 2017,"5,790.50","5,825.00","317,100"
1279,22. March 2017,"5,712.00","5,741.00","323,975"
1280,21. March 2017,"5,765.50","5,794.00","329,850"
1281,20. March 2017,"5,891.00","5,912.00","332,975"
1282,17. March 2017,"5,889.00","5,909.00","337,600"
1283,16. March 2017,"5,911.00","5,935.00","339,025"
1284,15. March 2017,"5,850.00","5,869.00","340,525"
1285,14. March 2017,"5,747.00","5,772.00","332,050"
1286,13. March 2017,"5,794.00","5,805.00","331,200"
1287,10. March 2017,"5,714.50","5,729.00","325,500"
1288,09. March 2017,"5,655.00","5,672.00","327,300"
1289,08. March 2017,"5,782.00","5,798.00","288,525"
1290,07. March 2017,"5,807.00","5,822.00","261,975"
1291,06. March 2017,"5,856.00","5,865.50","235,250"
1292,03. March 2017,"5,910.00","5,918.00","196,425"
1293,02. March 2017,"5,994.00","6,001.00","200,000"
1294,01. March 2017,"6,040.00","6,051.00","200,725"
1295,28. February 2017,"5,936.00","5,940.00","203,100"
1296,27. February 2017,"5,927.00","5,935.00","206,875"
1297,24. February 2017,"5,881.00","5,893.00","210,800"
1298,23. February 2017,"5,991.00","6,003.00","214,025"
1299,22. February 2017,"5,976.00","5,991.00","219,425"
1300,21. February 2017,"6,034.00","6,045.50","221,425"
1301,20. February 2017,"6,002.00","6,007.00","224,025"
1302,17. February 2017,"5,939.00","5,960.00","229,075"
1303,16. February 2017,"6,015.00","6,036.00","236,725"
1304,15. February 2017,"6,016.00","6,036.00","235,825"
1305,14. February 2017,"6,145.00","6,156.00","243,350"
1306,13. February 2017,"6,111.00","6,111.50","247,825"
1307,10. February 2017,"5,872.00","5,873.00","248,200"
1308,09. February 2017,"5,863.00","5,875.00","251,525"
1309,08. February 2017,"5,865.00","5,879.00","254,725"
1310,07. February 2017,"5,802.00","5,816.00","253,450"
1311,06. February 2017,"5,786.00","5,794.00","253,725"
1312,03. February 2017,"5,836.00","5,845.00","257,150"
1313,02. February 2017,"5,903.00","5,922.00","259,500"
1314,01. February 2017,"5,931.00","5,936.00","260,850"
1315,31. January 2017,"5,921.00","5,930.00","261,325"
1316,30. January 2017,"5,857.00","5,877.00","262,150"
1317,27. January 2017,"5,847.00","5,864.50","263,775"
1318,26. January 2017,"5,890.00","5,912.00","268,975"
1319,25. January 2017,"5,867.00","5,893.00","271,025"
1320,24. January 2017,"5,879.00","5,895.00","272,150"
1321,23. January 2017,"5,775.00","5,795.00","274,650"
1322,20. January 2017,"5,706.00","5,735.00","275,400"
1323,19. January 2017,"5,710.00","5,733.00","274,100"
1324,18. January 2017,"5,721.00","5,750.00","276,050"
1325,17. January 2017,"5,771.50","5,797.00","277,375"
1326,16. January 2017,"5,857.00","5,885.50","279,000"
1327,13. January 2017,"5,797.00","5,828.00","281,700"
1328,12. January 2017,"5,752.50","5,779.00","285,700"
1329,11. January 2017,"5,709.50","5,730.50","288,225"
1330,10. January 2017,"5,642.00","5,661.00","293,400"
1331,09. January 2017,"5,551.50","5,576.00","294,900"
1332,06. January 2017,"5,546.50","5,571.00","295,125"
1333,05. January 2017,"5,611.00","5,629.00","301,775"
1334,04. January 2017,"5,500.50","5,518.00","305,875"
1335,03. January 2017,"5,574.00","5,584.00","311,825"
1336,30. December 2016,"5,501.00","5,520.00","322,225"
1337,29. December 2016,"5,514.00","5,529.00","328,350"
1338,28. December 2016,"5,486.00","5,500.50","331,100"
1339,23. December 2016,"5,482.00","5,496.00","334,525"
1340,22. December 2016,"5,426.00","5,440.00","335,800"
1341,21. December 2016,"5,498.50","5,519.00","339,625"
1342,20. December 2016,"5,485.50","5,500.00","344,025"
1343,19. December 2016,"5,561.00","5,565.50","345,475"
1344,16. December 2016,"5,649.00","5,660.00","307,075"
1345,15. December 2016,"5,682.50","5,683.50","295,300"
1346,14. December 2016,"5,735.00","5,745.00","278,125"
1347,13. December 2016,"5,765.50","5,776.00","258,175"
1348,12. December 2016,"5,757.00","5,775.00","241,550"
1349,09. December 2016,"5,824.00","5,825.00","213,325"
1350,08. December 2016,"5,838.00","5,836.00","221,125"
1351,07. December 2016,"5,903.50","5,914.00","225,925"
1352,06. December 2016,"5,856.00","5,867.00","229,500"
1353,05. December 2016,"5,851.50","5,859.00","233,025"
1354,02. December 2016,"5,736.00","5,735.00","234,025"
